Voltage__quantile__q_0.1,Current__fourier_entropy__bins_3,Current__fourier_entropy__bins_5,Current__fourier_entropy__bins_10,Current__fourier_entropy__bins_100,Current__permutation_entropy__dimension_4__tau_1,Current__permutation_entropy__dimension_5__tau_1,Current__permutation_entropy__dimension_6__tau_1,Current__mean_n_absolute_max__number_of_maxima_7,Voltage__median,Current__sum_values,Current__median
18.299261,0.07998252574647073,0.09072899366212879,0.17046735378874556,0.8064783479331409,2.912606618212793,4.283581542856026,5.754311693823095,32.217335428571424,18.517109,1711697.6156230008,5.797831
17.028479,0.12525570174922163,0.17046735378874556,0.2801790812253812,1.180884366197268,2.9749424927501495,4.3959804427639835,5.930240461708648,37.81513128571429,17.851461,1313388.5616050002,5.358377
17.294739,0.07998252574647073,0.19006786667059616,0.2694326133097232,1.2042800211360547,2.994987822857933,4.439644618157152,6.002598327420111,37.82559457142857,18.335569,751165.907414,0.74412
17.052685,0.07998252574647073,0.07998252574647073,0.2008143345862542,0.922060838386007,2.9788656181503015,4.415927338249318,5.969475492680775,37.82559457142857,18.492905,737377.8223469998,0.670878
17.645716,0.15566469871212202,0.22846470548347894,0.43174462100733013,1.3486623984567037,2.9949841634501198,4.408789017455186,5.925959904917046,35.377213142857144,17.778845,4247598.521513002,3.966776
16.919556,0.09072899366212879,0.13600216966487969,0.18121382170440362,0.8343167342264695,2.991065920609601,4.4235308359939225,5.9698242358606635,37.85698442857142,17.427868,1265763.436131,5.43162
17.25843,0.04539477814685819,0.12525570174922163,0.18121382170440362,0.6260612244700569,2.764449103249243,4.030736772238354,5.370851055321932,32.719567999999995,17.742537,1635959.149794,3.673807
17.452072,0.15566469871212202,0.20487052174721973,0.352599373823339,1.2831109217094332,3.0020580200909546,4.422255774354345,5.94874240672511,35.83759228571429,17.609407,2862671.8133759997,4.332987
17.294739,0.09072899366212879,0.09072899366212879,0.2008143345862542,0.8452826223007703,3.000870589601389,4.441280615275512,5.997921416333156,37.804668,17.560997,951514.7031389999,4.625956
17.427868,0.04539477814685819,0.12525570174922163,0.13600216966487969,0.5121384036513721,2.4569661724963376,3.4960289973453658,4.550807433404394,20.96942642857143,18.105618,1547421.8628549997,0.74412
